,Unnamed: 0,election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,StreetAddress,City,State,ZipCode,category,NonReligious,ReligiousBuilding,BuildingType,Latitude,Longitude
62,62,11/3/2020,IA,Black Hawk,Black Hawk,county,J200,Evansdale Ward 2,0,election_day,COMMUNITY RESPONSE CENTER,"911 EVANS RD, EVANSDALE, IA 50707",0,ORR,10/9/2020,0,911 EVANS RD,EVANSDALE,IA,50707,NonReligious,1,0,NonReligious,42.4648907,-92.28658
63,63,11/3/2020,IA,Black Hawk,Black Hawk,county,J300,Evansdale Ward 3,0,election_day,EVANSDALE CITY HALL,"123 N EVANS RD, EVANSDALE, IA 50707",0,ORR,10/9/2020,0,123 N EVANS RD,EVANSDALE,IA,50707,NonReligious,1,0,NonReligious,42.4783778,-92.2886032
64,64,11/3/2020,IA,Black Hawk,Black Hawk,county,J400,Evansdale Ward 4,0,election_day,COMMUNITY RESPONSE CENTER,"911 EVANS RD, EVANSDALE, IA 50707",0,ORR,10/9/2020,0,911 EVANS RD,EVANSDALE,IA,50707,NonReligious,1,0,NonReligious,42.4648907,-92.28658
65,65,11/3/2020,IA,Black Hawk,Black Hawk,county,N000,Mt Vernon,0,election_day,BLACK HAWK COUNTY CONSERVATION,"1346 W AIRLINE HWY, WATERLOO, IA 50703",0,ORR,10/9/2020,0,1346 W AIRLINE HWY,WATERLOO,IA,50703,NonReligious,1,0,NonReligious,42.5428817,-92.364117
66,66,11/3/2020,IA,Black Hawk,Black Hawk,county,PH01,Poyner P1/ East Wloo Twp,0,election_day,AMERICAN LEGION,"1110 6TH ST (SOUTH ENTR), GILBERTVILLE, IA 50634",0,ORR,10/9/2020,0,1110 6TH ST (SOUTH ENTR),GILBERTVILLE,IA,50634,NonReligious,1,0,NonReligious,42.4143757,-92.2132632
67,67,11/3/2020,IA,Black Hawk,Black Hawk,county,PK02,Poyner P2/Gilbertville/Fox/Jesup,0,election_day,AMERICAN LEGION,"1110 6TH ST (SOUTH ENTR), GILBERTVILLE, IA 50634",0,ORR,10/9/2020,0,1110 6TH ST (SOUTH ENTR),GILBERTVILLE,IA,50634,NonReligious,1,0,NonReligious,42.4143757,-92.2132632
68,68,11/3/2020,IA,Black Hawk,Black Hawk,county,Q000,Spring Creek,0,election_day,UNION HIGH SCHOOL,"200 ADAMS ST, LA PORTE CITY, IA 50651",0,ORR,10/9/2020,0,200 ADAMS ST,LA PORTE CITY,IA,50651,NonReligious,1,0,NonReligious,42.31456846,-92.19925758
69,69,11/3/2020,IA,Black Hawk,Black Hawk,county,R000,Union,0,election_day,ANTIQUE ACRES,"7610 WAVERLY RD, CEDAR FALLS, IA 50613",0,ORR,10/9/2020,0,7610 WAVERLY RD,CEDAR FALLS,IA,50613,NonReligious,1,0,NonReligious,42.6083,-92.4531289
70,70,11/3/2020,IA,Black Hawk,Black Hawk,county,S000,Washington/Janesville,0,election_day,ANTIQUE ACRES,"7610 WAVERLY RD, CEDAR FALLS, IA 50613",0,ORR,10/9/2020,0,7610 WAVERLY RD,CEDAR FALLS,IA,50613,NonReligious,1,0,NonReligious,42.6083,-92.4531289
71,71,11/3/2020,IA,Black Hawk,Black Hawk,county,W101,Precinct W101,0,election_day,IOWA STATE UNIVERSITY EXTENSION,"3420 UNIVERSITY AVE, WATERLOO, IA 50701",0,ORR,10/9/2020,0,3420 UNIVERSITY AVE,WATERLOO,IA,50701,NonReligious,1,0,NonReligious,42.5035044,-92.3921074
72,72,11/3/2020,IA,Black Hawk,Black Hawk,county,W102,Precinct W102,0,election_day,YMCA,"669 S HACKETT RD, WATERLOO, IA 50701",0,ORR,10/9/2020,0,669 S HACKETT RD,WATERLOO,IA,50701,NonReligious,1,0,NonReligious,42.5048841,-92.3956482
73,73,11/3/2020,IA,Black Hawk,Black Hawk,county,W103,Precinct W103,0,election_day,CELEBRATION CHURCH,"745 APRIL ST, WATERLOO, IA 50701",0,ORR,10/9/2020,0,745 APRIL ST,WATERLOO,IA,50701,ReligiousBuilding,0,1,Religious,42.4756227,-92.3871579
74,74,11/3/2020,IA,Black Hawk,Black Hawk,county,W104,Precinct W104,0,election_day,CELEBRATION CHURCH,"745 APRIL ST, WATERLOO, IA 50701",0,ORR,10/9/2020,0,745 APRIL ST,WATERLOO,IA,50701,ReligiousBuilding,0,1,Religious,42.4756227,-92.3871579
75,75,11/3/2020,IA,Black Hawk,Black Hawk,county,W105,Precinct W105,0,election_day,WALNUT RIDGE BAPTIST CHURCH,"1307 W RIDGEWAY AVE (DOOR A), WATERLOO, IA 50701",0,ORR,10/9/2020,0,1307 W RIDGEWAY AVE (DOOR A),WATERLOO,IA,50701,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,42.4680739,-92.3772133
76,76,11/3/2020,IA,Black Hawk,Black Hawk,county,W106,Precinct W106,0,election_day,CEDAR VALLEY COMMUNITY CHURCH,"3520 ANSBOROUGH AVE (EAST ENTRANCE), WATERLOO, IA 50701",0,ORR,10/9/2020,0,3520 ANSBOROUGH AVE (EAST ENTRANCE),WATERLOO,IA,50701,ReligiousBuilding,0,1,Religious,42.4641454,-92.3775271
