,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
707,WINDSOR HEIGHTS 1,1142,214,117,331,198,470,668,0,0,0,0,0,0,0,1,1,0,0,0,7,2,9,0,0,0,1,2,3,0,0,0,1012,Polk WINDSOR HEIGHTS 1
708,WINDSOR HEIGHTS 2,1237,201,167,368,135,512,647,0,1,1,0,2,2,0,0,0,1,0,1,4,7,11,0,0,0,1,0,1,3,2,5,1036,Polk WINDSOR HEIGHTS 2
709,WINDSOR HEIGHTS 3,1569,264,153,417,269,527,796,0,3,3,0,1,1,2,0,2,0,1,1,11,8,19,0,0,0,4,0,4,4,3,7,1250,Polk WINDSOR HEIGHTS 3
710,BMWJ,2242,733,447,1180,150,357,507,1,0,1,1,2,3,0,0,0,1,4,5,6,7,13,0,0,0,0,3,3,0,3,3,1715,Poweshiek BMWJ
711,DRL,524,233,115,348,25,46,71,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,421,Poweshiek DRL
712,MS,573,111,171,282,30,122,152,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,439,Poweshiek MS
713,CGWS,1237,313,385,698,57,234,291,0,0,0,0,2,2,0,0,0,2,1,3,3,7,10,1,1,2,1,0,1,1,3,4,1011,Poweshiek CGWS
714,1st Ward - GR - 06GR,2149,130,128,258,81,672,753,0,0,0,0,0,0,0,0,0,2,1,3,4,4,8,0,0,0,0,0,0,0,0,0,1022,Poweshiek 1st Ward - GR - 06GR
715,2nd Ward - GR - 07GR,1860,303,305,608,126,694,820,0,1,1,1,4,5,0,0,0,0,2,2,7,2,9,0,0,0,2,2,4,1,1,2,1451,Poweshiek 2nd Ward - GR - 07GR
716,3rd Ward - GR - 08GR,1654,284,171,455,144,419,563,0,0,0,1,3,4,0,0,0,2,3,5,11,5,16,0,0,0,2,1,3,2,0,2,1048,Poweshiek 3rd Ward - GR - 08GR
